"project_id","project_name","discipline_name"
268879,"GRK 8:  Quantitative Analyse und Charakterisierung pharmazeutisch und biochemisch relevanter Substanzen (Analytische Chemie)","Analytik, Methodenentwicklung (Chemie)"
269289,"GRK 51:  Sensorik (Sensoren und Sensorsysteme für mechanische Größen sowie Strahlung im sichtbaren und unsichtbaren Spektralgebiet, elektrochemische Sensoren)","Elektrotechnik"
269289,"GRK 51:  Sensorik (Sensoren und Sensorsysteme für mechanische Größen sowie Strahlung im sichtbaren und unsichtbaren Spektralgebiet, elektrochemische Sensoren)","Produktionstechnik"
269303,"GRK 52:  Quantenfeldtheorie: mathematische Struktur und Anwendungen in der Elementarteilchen- und Festkörperphysik","Physik der kondensierten Materie"
269347,"GRK 57:  Molekulare Physiologie: Stoff- und Energieumwandlung","Grundlagen der Biologie und Medizin"
269501,"GRK 72:  Identifikation von Material- und Systemeigenschaften","Produktionstechnik"
269869,"GRK 115:  Meerestechnische Konstruktionen","Bauwesen und Architektur"
269889,"GRK 117:  Dynamik von Substandardvarietäten - sprachhistorisch, soziolinguistisch, kontaktlinguistisch, dialektologisch","Sprachwissenschaften"
270081,"GRK 136:  Systemeffizienz und Systemdynamik in Entwicklungsländern","Sozialwissenschaften"
270081,"GRK 136:  Systemeffizienz und Systemdynamik in Entwicklungsländern","Wirtschaftswissenschaften"
270677,"GRK 200:  Grundlagen des Arthropodenverhaltens: Genetik, Neurobiologie, Ökologie","Grundlagen der Biologie und Medizin"
270849,"GRK 216:  Physikalische Systeme mit vielen Freiheitsgraden","Physik der kondensierten Materie"
271021,"GRK 232:  Neue Hochleistungswerkstoffe für effiziente Energienutzung","Produktionstechnik"
271031,"GRK 233:  Textkritik als Grundlage und Methode historischer Wissenschaften","Sprachwissenschaften"
271069,"GRK 236:  Modellierung und modellbasierte Entwicklung komplexer technischer Systeme","Produktionstechnik"
271151,"GRK 243:  Nichtlineare Differentialgleichungen: Modellierung, Theorie, Numerik, Visualisierung","Mathematik"
271277,"GRK 252:  Geistliches Lied und Kirchenlied interdisziplinär","Geschichtswissenschaften"
271277,"GRK 252:  Geistliches Lied und Kirchenlied interdisziplinär","Theologie"
271303,"GRK 254:  Allokationstheorie, Wirtschaftspolitik und kollektive Entscheidungen","Wirtschaftswissenschaften"
271325,"GRK 256:  Aufgabenorientierte Kommunikation","Sprachwissenschaften"
271417,"GRK 263:  Kulturelles Bewusstsein und sozialer Wandel in der russischen und sowjetischen Gesellschaft des 20. Jahrhunderts","Geschichtswissenschaften"
271553,"GRK 277:  Struktur und Dynamik heterogener Systeme","Physik der kondensierten Materie"
271575,"GRK 282:  Quantenfeldtheoretische Methoden in der Teilchenphysik, Gravitation und Statistischen Physik und Quantenoptik","Physik der kondensierten Materie"
271671,"GRK 296:  Genetik zellulärer Systeme","Grundlagen der Biologie und Medizin"
271771,"GRK 312:  Homogener und heterogener Elektronentransfer","Physikalische und Theoretische Chemie"
271811,"GRK 323:  Archäologische Analytik","Alte Kulturen"
271853,"GRK 329:  Anwendungen der Supraleitung","Elektrotechnik"
271853,"GRK 329:  Anwendungen der Supraleitung","Physik der kondensierten Materie"
271879,"GRK 332:  Interkulturelle Kommunikation in kulturwissenschaftlicher Perspektive","Sprachwissenschaften"
271953,"GRK 338:  Lokale innovative Energiesysteme","Elektrotechnik"
271965,"GRK 339:  Medienübergreifende Stofftransport- und Stoffumwandlungsprozesse an den Kompartimentgrenzen zum Wasser","Wasserforschung"
272115,"GRK 378:  Mechanistische und Anwendungsaspekte nichtkonventioneller Oxidationsreaktionen","Molekülchemie"
272207,"GRK 407:  Die Zukunft des europäischen Sozialmodells","Sozialwissenschaften"
272409,"GRK 440:  Methoden in der asymmetrischen Synthese","Molekülchemie"
272455,"GRK 446:  Wissensrepräsentation","Informatik"
272499,"GRK 455:  Molekulare Veterinärmedizin","Agrar-, Forstwissenschaften, Gartenbau und Tiermedizin"
272543,"GRK 463:  Felder und lokalisierte Atome - Atome und lokalisierte Felder: Spektroskopie an lokalisierten atomaren Systemen","Physik der kondensierten Materie"
272579,"GRK 468:  Zeiterfahrung und ästhetische Wahrnehmung","Sprachwissenschaften"
272595,"GRK 473:  Reiseliteratur und Kulturanthropologie","Sprachwissenschaften"
272661,"GRK 497:  Recht und Ökonomik, neue Formen privatwirtschaftlicher Kooperation und zivilrechtlicher Haftung","Rechtswissenschaften"
272699,"GRK 515:  Imaginatio Borealis - Perzeption, Rezeption und Konstruktion des Nordens","Sprachwissenschaften"
272727,"GRK 518:  Verhaltensstrategien und Verhaltensoptimierung","Grundlagen der Biologie und Medizin"
272745,"GRK 520:  Immunmodulation","Grundlagen der Biologie und Medizin"
272763,"GRK 522:  Der Erfahrungsbegriff in der europäischen Religion und Religionstheorie und sein Einfluss auf das Selbstverständnis außereuropäischer Religionen","Theologie"
272863,"GRK 554:  Unternehmensentwicklung, Marktprozesse und Regulierung in dynamischen Entscheidungsmodellen","Wirtschaftswissenschaften"
272905,"GRK 564:  Raum und Ritual. Funktion, Bedeutung und Nutzung sakral bestimmter Räume und Orte","Alte Kulturen"
272905,"GRK 564:  Raum und Ritual. Funktion, Bedeutung und Nutzung sakral bestimmter Räume und Orte","Geschichtswissenschaften"
272905,"GRK 564:  Raum und Ritual. Funktion, Bedeutung und Nutzung sakral bestimmter Räume und Orte","Kunst-, Musik-, Theater- und Medienwissenschaften"
272905,"GRK 564:  Raum und Ritual. Funktion, Bedeutung und Nutzung sakral bestimmter Räume und Orte","Theologie"
273019,"GRK 607:  Kriterien der Gerechtigkeit in Ökonomie, Sozialpolitiik und Sozialethik","Theologie"
273019,"GRK 607:  Kriterien der Gerechtigkeit in Ökonomie, Sozialpolitiik und Sozialethik","Wirtschaftswissenschaften"
273129,"GRK 633:  Interdisziplinärer Entwurf verlässlicher Multitechnologie-Systeme","Informatik"
273169,"GRK 642:  Wertschätzung und Erhaltung von Biodiversität: Umsetzung von Naturschutzstrategien im Rahmen des Übereinkommens über die biologische Vielfalt","Agrar-, Forstwissenschaften, Gartenbau und Tiermedizin"
273169,"GRK 642:  Wertschätzung und Erhaltung von Biodiversität: Umsetzung von Naturschutzstrategien im Rahmen des Übereinkommens über die biologische Vielfalt","Außereuropäische Sprachen und Kulturen, Sozial- und Kulturanthropologie, Judaistik und Religionswissenschaft"
273169,"GRK 642:  Wertschätzung und Erhaltung von Biodiversität: Umsetzung von Naturschutzstrategien im Rahmen des Übereinkommens über die biologische Vielfalt","Wirtschaftswissenschaften"
273169,"GRK 642:  Wertschätzung und Erhaltung von Biodiversität: Umsetzung von Naturschutzstrategien im Rahmen des Übereinkommens über die biologische Vielfalt","Rechtswissenschaften"
273169,"GRK 642:  Wertschätzung und Erhaltung von Biodiversität: Umsetzung von Naturschutzstrategien im Rahmen des Übereinkommens über die biologische Vielfalt","Grundlagen der Biologie und Medizin"
273169,"GRK 642:  Wertschätzung und Erhaltung von Biodiversität: Umsetzung von Naturschutzstrategien im Rahmen des Übereinkommens über die biologische Vielfalt","Geographie"
273181,"GRK 643:  Software für mobile Kommunikationssysteme","Informatik"
273227,"GRK 677:  Struktur und molekulare Interaktion als Basis der Arzneimittelwirkung","Medizin"
273241,"GRK 685:  Infektionsbiologie: human- und pflanzenpathogene Bakterien und Pilze","Grundlagen der Biologie und Medizin"
273279,"GRK 697:  Satzarten: Variation und Interpretation","Sprachwissenschaften"
273297,"GRK 706:  Kulturhermeneutik im Zeichen von Differenz und Transdifferenz","Sprachwissenschaften"
273301,"GRK 707:  Makom: Ort und Orte im Judentum. Zur Bedeutung und Konstruktion von Ortsbezügen im europäischen Judentum von der Aufklärung bis zur Gegenwart","Geschichtswissenschaften"
273301,"GRK 707:  Makom: Ort und Orte im Judentum. Zur Bedeutung und Konstruktion von Ortsbezügen im europäischen Judentum von der Aufklärung bis zur Gegenwart","Sprachwissenschaften"
273301,"GRK 707:  Makom: Ort und Orte im Judentum. Zur Bedeutung und Konstruktion von Ortsbezügen im europäischen Judentum von der Aufklärung bis zur Gegenwart","Theologie"
273301,"GRK 707:  Makom: Ort und Orte im Judentum. Zur Bedeutung und Konstruktion von Ortsbezügen im europäischen Judentum von der Aufklärung bis zur Gegenwart","Sozialwissenschaften"
273331,"GRK 722:  Einsatz von Informationstechniken zur Präzisierung des Pflanzenschutzes","Agrar-, Forstwissenschaften, Gartenbau und Tiermedizin"
273353,"GRK 729:  Elementarteilchenphysik an der TeV-Skala","Physik der kondensierten Materie"
273373,"GRK 748:  Risiko und Liquidität in Finanz-, Güter- und Faktormärkten","Wirtschaftswissenschaften"
273397,"GRK 760:  Medizinische Chemie: Molekulare Erkennung - Ligand-Rezeptor-Wechselwirkungen","Medizin"
273397,"GRK 760:  Medizinische Chemie: Molekulare Erkennung - Ligand-Rezeptor-Wechselwirkungen","Grundlagen der Biologie und Medizin"
