"project_id","name","address"
268853,"GRK 6:  Räumliche Statistik","Technische Universität Bergakademie Freiberg"
268853,"GRK 6:  Räumliche Statistik","Hochschule Darmstadt"
268853,"GRK 6:  Räumliche Statistik","Technische Universität Dresden"
268865,"GRK 7:  Mathematik im Bereich ihrer Wechselwirkung mit der Physik","Ludwig-Maximilians-Universität München"
268865,"GRK 7:  Mathematik im Bereich ihrer Wechselwirkung mit der Physik","Technische Universität München"
268865,"GRK 7:  Mathematik im Bereich ihrer Wechselwirkung mit der Physik","Max-Planck-Institut für Gravitationsphysik"
268879,"GRK 8:  Quantitative Analyse und Charakterisierung pharmazeutisch und biochemisch relevanter Substanzen (Analytische Chemie)","Eberhard-Karls-Universität Tübingen"
268879,"GRK 8:  Quantitative Analyse und Charakterisierung pharmazeutisch und biochemisch relevanter Substanzen (Analytische Chemie)","Universitätsklinikum Tübingen"
268931,"GRK 12:  Migration im modernen Europa","Universität Osnabrück"
268931,"GRK 12:  Migration im modernen Europa","Westfälische Wilhelms-Universität Münster"
268931,"GRK 12:  Migration im modernen Europa","Karl-Franzens-Universität Graz"
269007,"GRK 19:  Interzelluläre Kommunikation und Signaltransduktion bei pathophysiologischen Prozessen","Universität Rostock"
269007,"GRK 19:  Interzelluläre Kommunikation und Signaltransduktion bei pathophysiologischen Prozessen","Institut für Physiologie der Universität"
269007,"GRK 19:  Interzelluläre Kommunikation und Signaltransduktion bei pathophysiologischen Prozessen","Institut für Biochemie der Medizinischen"
269007,"GRK 19:  Interzelluläre Kommunikation und Signaltransduktion bei pathophysiologischen Prozessen","Leibniz-Institut für Nutztierbiologie (FBN)"
269007,"GRK 19:  Interzelluläre Kommunikation und Signaltransduktion bei pathophysiologischen Prozessen","Eberhard-Karls-Universität Tübingen"
269007,"GRK 19:  Interzelluläre Kommunikation und Signaltransduktion bei pathophysiologischen Prozessen","Universitätsklinikum Rostock (AöR)"
269007,"GRK 19:  Interzelluläre Kommunikation und Signaltransduktion bei pathophysiologischen Prozessen","Ruprecht-Karls-Universität Heidelberg"
269105,"GRK 30:  Europäische mittelalterliche Rechtsgeschichte, neuzeitliche Rechtsgeschichte und juristische Zeitgeschichte","Goethe-Universität Frankfurt am Main"
269105,"GRK 30:  Europäische mittelalterliche Rechtsgeschichte, neuzeitliche Rechtsgeschichte und juristische Zeitgeschichte","University of Oxford"
269105,"GRK 30:  Europäische mittelalterliche Rechtsgeschichte, neuzeitliche Rechtsgeschichte und juristische Zeitgeschichte","Max-Planck-Institut für europäische Rechtsgeschichte (MPIER)"
269145,"GRK 36:  Experimentelle Methoden der Kern- und Elementarteilchenphysik","Ruprecht-Karls-Universität Heidelberg"
269145,"GRK 36:  Experimentelle Methoden der Kern- und Elementarteilchenphysik","Max-Planck-Institut für Kernphysik"
269145,"GRK 36:  Experimentelle Methoden der Kern- und Elementarteilchenphysik","Technische Universität Wien"
269145,"GRK 36:  Experimentelle Methoden der Kern- und Elementarteilchenphysik","Universität Heidelberg"
269145,"GRK 36:  Experimentelle Methoden der Kern- und Elementarteilchenphysik","Frankfurt Institute for Advanced Studies (FIAS)"
269237,"GRK 45:  Integrierte fluidische Sensor-Aktor-Systeme","Universität Rostock"
269249,"GRK 46:  Geometrie und nichtlineare Analysis","Technische Universität Berlin"
269249,"GRK 46:  Geometrie und nichtlineare Analysis","Humboldt-Universität zu Berlin"
269249,"GRK 46:  Geometrie und nichtlineare Analysis","Friedrich-Alexander-Universität Erlangen-Nürnberg"
269289,"GRK 51:  Sensorik (Sensoren und Sensorsysteme für mechanische Größen sowie Strahlung im sichtbaren und unsichtbaren Spektralgebiet, elektrochemische Sensoren)","Technische Universität Dresden"
269289,"GRK 51:  Sensorik (Sensoren und Sensorsysteme für mechanische Größen sowie Strahlung im sichtbaren und unsichtbaren Spektralgebiet, elektrochemische Sensoren)","Eberhard-Karls-Universität Tübingen"
269303,"GRK 52:  Quantenfeldtheorie: mathematische Struktur und Anwendungen in der Elementarteilchen- und Festkörperphysik","Universität Leipzig"
269303,"GRK 52:  Quantenfeldtheorie: mathematische Struktur und Anwendungen in der Elementarteilchen- und Festkörperphysik","Max-Planck-Institut für Mathematik in den Naturwissenschaften"
269347,"GRK 57:  Molekulare Physiologie: Stoff- und Energieumwandlung","Heinrich-Heine-Universität Düsseldorf"
269347,"GRK 57:  Molekulare Physiologie: Stoff- und Energieumwandlung","Forschungszentrum Jülich GmbH"
269379,"GRK 60:  Molekularbiologische Analyse pathophysiologischer Prozesse","Georg-August-Universität Göttingen"
269379,"GRK 60:  Molekularbiologische Analyse pathophysiologischer Prozesse","Ludwig-Maximilians-Universität München"
269379,"GRK 60:  Molekularbiologische Analyse pathophysiologischer Prozesse","Akademie der Wissenschaften zu Göttingen"
269443,"GRK 66:  Das neue Europa","Freie Universität Berlin"
269443,"GRK 66:  Das neue Europa","Humboldt-Universität zu Berlin"
269443,"GRK 66:  Das neue Europa","Hamburgisches Welt-Wirtschafts-Archiv (HWWA)"
269443,"GRK 66:  Das neue Europa","Hertie School of Governance GmbH"
269481,"GRK 70:  Angewandte Statistik","Technische Universität Dortmund"
269491,"GRK 71:  Hochreaktive Mehrfachbindungssysteme","Westfälische Wilhelms-Universität Münster"
269501,"GRK 72:  Identifikation von Material- und Systemeigenschaften","Universität Kassel"
269501,"GRK 72:  Identifikation von Material- und Systemeigenschaften","0 Kassel"
269589,"GRK 80:  Modellstuduien zu Struktur, Eigenschaften und Erkennung biologisch relevanter Moleküle auf atomarer Ebene","Georg-August-Universität Göttingen"
269589,"GRK 80:  Modellstuduien zu Struktur, Eigenschaften und Erkennung biologisch relevanter Moleküle auf atomarer Ebene","Freie Universität Berlin"
269589,"GRK 80:  Modellstuduien zu Struktur, Eigenschaften und Erkennung biologisch relevanter Moleküle auf atomarer Ebene","Leibniz-Institut für Molekulare Pharmakologie (FMP)"
