"project_id","year"
268853,1997
268865,1996
268879,1995
268931,1995
269007,1997
269105,1996
269145,1998
269237,1995
269249,1996
269289,1998
269481,1997
269491,1997
269501,1996
269589,1997
269673,1995
269723,1996
269733,1996
269833,1996
269869,1995
269889,1997
269905,1996
269933,1998
269977,1995
270059,1995
270081,1994
270091,1995
5073464,1987
5073476,1988
5343026,1990
270123,1995
270157,1996
270207,1998
270225,1996
270251,1997
270327,1996
270351,1996
270463,1996
270491,1996
270515,1996
270535,1998
270585,1995
270597,1997
270625,1996
270649,1996
269347,1997
269379,1996
270677,1995
270691,1996
270739,1996
270755,1996
270807,1996
270829,1996
270849,1995
270869,1996
270981,1996
270995,1996
271009,1996
271021,1996
271031,1996
271043,1996
5073480,1988
271055,1996
271069,1996
271081,1997
271095,1996
271111,1996
271123,1996
271141,1996
271151,1996
271999,1998
5073640,1996
5092312,1998
271163,1996
271177,1996
271193,1996
271207,1995
271219,1996
271237,1996
271251,1996
5075312,1998
5111326,1983
5139952,1999
271265,1996
271277,1996
271289,1996
271303,1996
271315,1996
5111952,1987
5111958,1987
5111970,1988
5111976,1989
5111988,1990
271325,1996
271337,1996
271351,1996
271363,1996
271381,1996
271395,1996
271405,1996
271417,1996
271437,1996
5111994,1990
5355928,1994
271451,1996
271461,1997
271473,1996
271489,1996
271503,1996
271515,1996
271529,1996
5126300,1998
271543,1996
271553,1997
271565,1998
271575,1997
271585,1996
269303,1995
5126306,1998
269443,1995
271599,1997
271613,1997
271625,1996
271645,1997
271657,1997
272073,1997
5137234,1999
271671,1997
271685,1997
271699,1996
271709,1997
271719,1997
272477,1998
5126312,1998
271733,1997
271747,1997
271761,1998
271771,1996
271785,1996
271797,1997
272607,1999
5137240,1999
5137246,1999
271811,1997
271825,1997
271835,1996
271853,1997
271867,1997
271879,1996
271891,1997
271903,1997
5075318,1998
5075324,1998
271917,1997
271937,1997
271953,1996
271965,1997
271975,1998
271985,1998
5137250,1999
5147192,1999
272017,1997
272029,1997
272039,1998
272051,1998
272061,1997
273539,2002
5147199,1999
272085,1997
272097,1998
272107,1998
272115,1997
272131,1997
5082456,1997
5147206,1999
5147212,1999
272155,1998
272165,1997
272179,1997
272193,1997
272207,1997
272219,1997
5147218,1999
272231,1997
272247,1997
272261,1997
272273,1997
272293,1997
272311,1998
272329,1997
272341,1998
272349,1999
272361,1999
5082980,1998
5219298,2000
272369,1998
272379,1998
272389,1998
272399,1998
272409,1998
272699,1999
272419,1998
272431,1998
272443,1999
272455,1998
272465,1998
5082986,1998
5083000,1998
5226520,1995
272489,1998
272499,1998
272509,1998
272521,1998
272533,1998
273337,2001
272543,1999
272553,1999
272563,1998
272571,1999
272579,1998
272595,1998
272617,1998
272641,1998
272651,1998
272661,1998
272675,1998
272687,1998
5083712,1998
5083726,1998
5355932,1994
272707,1999
272717,1999
272727,1999
272735,1999
272745,2000
5083740,1998
5083746,1998
5083762,1998
5083773,1998
272755,1999
272763,1999
272775,2000
272785,1999
272795,1999
272805,1999
5083903,1997
5083910,1998
5083916,1998
272813,1999
272825,1999
272835,1999
272843,1999
272853,1999
5137256,1999
5137262,1999
272863,1999
272871,2000
272879,2000
272891,1999
272905,2001
272909,1999
272919,1999
273025,2000
5137318,1999
5356315,1994
272933,1999
272943,1999
272953,2000
272963,1999
272973,2000
272983,2000
272991,2000
272999,2000
273005,2000
273011,2000
273019,2000
273135,2000
5137432,1998
5230310,1995
273033,2001
273037,2000
273049,2000
273057,2000
273063,2000
273075,2000
273143,2000
5230314,2000
273083,2000
273089,2000
273097,2000
273105,2000
273113,2000
273121,2000
273129,2000
273153,2000
273161,2000
273169,2000
273181,2001
273401,2002
5147230,1999
273185,2000
273193,2000
273201,2000
273209,2001
273213,2001
273263,2001
5147236,1999
5147242,1999
273217,2001
273223,2001
273227,2001
273231,2001
273235,2001
5147248,1999
5147254,1999
5147260,1999
5147266,1999
273241,2001
273245,2001
273249,2001
273253,2001
273257,2001
273289,2001
5147272,1999
273267,2001
273271,2001
273275,2001
273279,2001
273285,2001
5092324,1998
273293,2001
273297,2001
273301,2001
273305,2001
273311,2001
5084884,1997
273315,2002
273319,2001
273323,2001
273327,2002
273331,2001
5092330,1997
5147278,1999
5147284,1999
5147290,1999
5147295,1999
5168098,1999
273341,2002
273345,2001
273349,2001
273353,2001
273357,2001
273405,2001
5183052,1999
273361,2002
273365,2001
273369,2001
273373,2001
273377,2002
273381,2001
273385,2001
273389,2001
273393,2002
273397,2002
5183058,1999
273409,2002
273413,2002
273417,2002
273421,2002
273427,2002
5147300,2000
5147311,1999
5147318,1999
273431,2002
273435,2002
273439,2002
273443,2002
273447,2002
273535,2002
273451,2002
273455,2002
273459,2002
273463,2002
273467,2002
5147324,1999
5168104,2002
5168110,1999
5168122,1999
273471,2002
273475,2002
273479,2002
273483,2002
273487,2002
5148552,1999
5168128,2002
5168134,1999
5183502,1994
273491,2002
273495,2002
273499,2002
273503,2002
273507,2002
273511,2002
273515,2002
273519,2002
273523,2002
273527,2002
273531,2002
273543,2003
273547,2003
273551,2003
273555,2003
273559,2003
273563,2003
273567,2003
5183506,1999
5183510,1994
273571,2003
273575,2003
273579,2003
273583,2003
273587,2003
273591,2004
5183515,1993
5219304,2000
273595,2004
273599,2003
273603,2004
273607,2004
273611,2004
372766,2005
273615,2004
273619,2003
273623,2003
273627,2004
273631,2004
5075338,1997
273635,2004
370878,2005
372679,2005
372729,2004
5075494,1998
5219310,2000
5219316,2000
372799,2005
373035,2005
373214,2004
373314,2004
373419,2004
374717,2005
5261490,2000
373608,2005
373690,2005
374400,2004
374710,2004
5075500,1998
5075512,1998
374794,2004
374837,2004
374870,2005
374897,2004
4961090,1992
374934,2004
374991,2004
375059,2004
375129,2004
4961479,1988
4961492,1989
4962677,1993
4964967,1987
4965064,1990
4965089,1991
375188,2004
375234,2004
375253,2004
375535,2005
4965127,1992
4965155,1993
4965168,1993
4965201,1993
5075520,1998
375559,2005
375788,2005
375986,2005
376397,2004
4965214,1993
5075526,1998
5075532,1998
5219328,2000
5219333,2000
5219340,2000
378603,2004
388747,2005
421041,2004
425187,2004
5219352,2000
5268748,2000
5307680,2001
440477,2005
441943,2005
443090,2005
446768,2005
5075538,1998
5075544,1998
447482,2005
449590,2005
450043,2005
451665,2005
452039,2005
5219610,1999
5307868,2001
5321542,1988
453162,2005
454969,2005
455518,2005
455540,2005
5259280,1995
462057,2005
462190,2005
462239,2005
462565,2005
5075722,1997
5075752,1997
462999,2005
771881,2005
772176,2006
776961,2005
5076360,1994
5076400,1997
5275636,2000
777777,2005
784588,2005
785486,2006
795603,2005
5166298,1999
795914,2005
795951,2006
796242,2005
802859,2005
4968094,1989
5166348,1994
5325606,2001
806681,2005
811503,2005
812229,2005
814910,2005
4982478,1989
5329956,1994
5329960,1994
818604,2005
818681,2005
818879,2005
819604,2005
4983360,1993
4986982,1991
819792,2005
820981,2005
820988,2005
